,字节跳动,数据产品经理,北京,2-3.5万/月,09-03
1595,黑龙江省容维证券数据程序化有限公...,数据分析师,合肥-滨湖新区,0.8-1万/月,09-03
1596,豫乾大数据集团有限公司,数据分析师,郑州-郑东新区,1-1.5万/月,09-03
1597,金拱门（广州）数据处理服务有限公...,数据分析师,广州-荔湾区,100元/天,09-03
1598,深圳市朗广数据技术有限公司,数据分析师,深圳,1-1.5万/月,09-03
1599,广州精准大数据技术有限公司,数据分析师,广州-天河区,4-6千/月,09-03
1600,贵阳供销马车队大数据电子商务有限...,数据分析师,贵阳,3-4.5千/月,09-03
1601,深圳市启商大数据企业管理有限公司...,数据分析师,深圳-南山区,1-1.5万/月,09-03
1602,贵州易迈思数据服务有限公司,数据分析师,贵阳,2-3千/月,09-03
1603,福建省佳发古建筑工程有限公司,数据分析师,福州-台江区,3-4.5千/月,09-04
1604,广州市海珠区合兴电子厂,数据分析师,武汉-江夏区,4.5-6千/月,09-04
1605,东莞市星慧企业管理咨询有限公司,数据分析师,东莞-黄江镇,4.5-6千/月,09-04
1606,深圳市宏得泰胶粘剂技术有限公司,数据分析师,深圳-南山区,6-8千/月,09-04
1607,上海谷力餐饮管理有限公司,数据分析师,上海-浦东新区,3-4.5千/月,09-04
1608,杭州淘盾网络科技有限公司,数据分析师,杭州-滨江区,4.5-6千/月,09-04
1609,蚂蚁之下（武汉）科技有限公司,数据分析师,武汉-东湖新技...,4.5-6千/月,09-04
1610,湖北荷香水美生态农业有限公司,数据分析师,异地招聘,3-4.5千/月,09-04
1611,上海荣琦实业有限公司,数据分析师,上海-浦东新区,3-4.5千/月,09-04
1612,安徽犇焱鸿启信息科技有限公司,数据分析师,合肥-经开区,6-8千/月,09-04
1613,广东弘裕实业发展有限公司,数据分析师,广州-番禺区,3-4.5千/月,09-04
1614,广州市该亚电子科技有限公司,数据分析师,成都-郫都区,4.5-6千/月,09-04
1615,广东华粤文化传媒有限公司,数据分析师,广州-天河区,2.2-2.5千/月,09-04
1616,深圳市中卫信息技术有限公司,数据分析师,深圳-南山区,1.2-1.5万/月,09-04
1617,四川链家房地产经纪有限公司,数据分析师,成都-青羊区,4-8千/月,09-04
1618,广州嘉宝国际贸易有限公司,数据分析师,广州-番禺区,3-4.5千/月,09-04
1619,九柏资产管理（上海）有限公司,数据分析师,上海-浦东新区,6-8千/月,09-04
1620,广州市丰瑞财税顾问咨询有限公司,数据分析师,广州-天河区,0.8-1万/月,09-04
1621,广州奈思信息科技有限公司,数据分析师,广州-天河区,0.4-1.5万/月,09-04
1622,大发地产上海地区公司,数据分析师,异地招聘,20-30万/年,09-04
1623,广州环优教育科技有限公司深圳分公...,数据分析师,深圳-福田区,6-8千/月,09-04
1624,招商信诺人寿保险有限公司,数据分析师,武汉,0.8-1.2万/月,09-03
1625,美团点评,数据分析师,广州,0.7-1.3万/月,09-03
1626,美团点评,数据分析师,深圳-福田区,1-1.5万/月,09-03
1627,杜尔涂装系统工程（上海）有限公司...,数据分析师,上海-青浦区,,09-03
1628,三一重工重起事业部,数据分析师,长沙,0.8-2万/月,09-03
1629,巴克斯酒业（佛山）有限公司,数据分析师,佛山-三水区,4-5.5千/月,09-03
1630,绿城中国华东区域公司,数据分析师,苏州,6-8千/月,09-03
1631,腾讯·大粤网,数据分析师,广州,6-8千/月,09-03
1632,上海锐澳（RIO）酒业营销有限公司,数据分析师,异地招聘,4.2-8千/月,09-03
1633,上海锐澳（RIO）酒业营销有限公司,数据分析师,成都,4.2-8千/月,09-03
1634,家乐福上海 Shanghai,数据分析师,上海-普陀区,4-5千/月,09-03
1635,哥伦比亚运动服装商贸（上海）有限...,数据分析师,上海-闵行区,4.5-6千/月,09-03
1636,戴尔（中国）有限公司,数据分析师,上海-长宁区,,09-03
1637,“前程无忧”51job.com（广州）,数据分析师,广州,,09-03
1638,亨氏（中国）投资有限公司,数据分析师,北京,1-1.5万/月,09-03
1639,京东商城华南区域分公司,数据分析师,广州-黄埔区,5-6千/月,09-03
1640,莱茵检测认证服务(中国)有限公司 ...,数据分析师,北京-朝阳区,0.8-1万/月,09-03
1641,蒂芙尼（上海）商业有限公司,数据分析师,宁波,6-8千/月,09-03
1642,上海之禾时尚实业（集团）有限公司...,数据分析师,上海,1-1.4万/月,09-03
1643,华润置地商业管理服务事业部-合肥...,数据分析师,合肥-庐阳区,4-6千/月,09-03
1644,FILA中国,数据分析师,石家庄,0.8-1.5万/月,09-03
1645,阿迪达斯体育（中国）有限公司,数据分析师,济南-历下区,0.8-1万/月,09-03
1646,广州立邦涂料有限公司,数据分析师,长沙,4.5-6千/月,09-03
1647,和记黄埔地产管理有限公司武汉分公...,数据分析师,武汉-江汉区,4-4.8千/月,09-03
1648,LG生活健康（化妆品、日用品）,数据分析师,海口,,09-03
1649,万科企业股份有限公司,数据分析师,深圳-盐田区,1-1.5万/月,09-03
1650,立邦涂料（中国）有限公司,数据分析师,上海-浦东新区,6-8千/月,09-03
1651,延长壳牌（四川）石油有限公司,数据分析师,成都,1.2-1.8万/月,09-03
1652,汉堡王（中国）投资有限公司,数据分析师,上海-徐汇区,1.2-2万/月,09-03
1653,沃尔玛（中国）投资有限公司,数据分析师,深圳-福田区,6-8千/月,09-03
1654,招商信诺人寿保险有限公司,数据分析师,上海-浦东新区,1-1.5万/月,09-03
1655,华润万家有限公司-OLE业务单元,数据分析师,异地招聘,0.6-1万/月,09-03
1656,上海太太乐食品有限公司北京分公司...,数据分析师,北京-朝阳区,4.5-6千/月,09-03
1657,招商信诺人寿保险有限公司广东分公...,数据分析师,广州-越秀区,1-1.5万/月,09-03
1658,苏州肯德基有限公司,数据分析师,昆山,4.4-5千/月,09-03
1659,南京肯德基有限公司,数据分析师,南京,4.5-6千/月,09-03
1660,毕马威中国 KPMG China,数据分析师,深圳,2-4万/月,09-03
1661,中兴通讯股份有限公司,数据分析师,深圳-南山区,2.5-3万/月,09-03
1662,北京诺华制药有限公司 Beijing No...,数据分析师,广州,30-40万/年,09-03
1663,家乐福（中国）管理咨询服务有限公...,数据分析师,上海-普陀区,0.7-1.2万/月,09-03
1664,IBM China,数据分析师,苏州-工业园区,6-8千/月,09-03
1665,百事饮料(南昌)有限公司,数据分析师,南昌-南昌县,3-4.5千/月,09-03
1666,博世（宁波）轻型电动车电机有限公...,数据分析师,宁波,,09-03
1667,富士康科技集团工管资讯,数据分析师,深圳-龙华新区,4-6千/月,09-03
1668,上海国际主题乐园有限公司（上海迪...,数据分析师,上海-浦东新区,,09-03
1669,勃林格殷格翰（中国）投资有限公司...,数据分析师,徐州,,09-03
1670,中粮可口可乐饮料（重庆）有限公司...,数据分析师,重庆-渝北区,3-4千/月,09-03
1671,Victoria's Secret,数据分析师,南京-江宁区,4.5-6千/月,09-03
1672,TUV SUD Greater China Central R...,数据分析师,上海-闵行区,,09-03
1673,SGS通标标准技术服务有限公司青岛...,数据分析师,青岛,2-3千/月,09-03
1674,小米通讯技术有限公司,数据分析师,重庆-渝中区,4-5.5千/月,09-03
1675,招商信诺人寿保险有限公司,数据分析师,武汉,1-1.5万/月,09-03
1676,广州安费诺诚信软性电路有限公司,数据分析师,广州-南沙区,8-16万/年,09-03
1677,康师傅控股武汉顶益食品有限公司,数据分析师,武汉-江汉区,4.2-5.2千/月,09-03
1678,沃尔玛（深圳）百货有限公司,数据分析师,深圳-龙岗区,4.5-6千/月,09-03
1679,雀巢（中国）有限公司上海分公司,数据分析师,上海,120元/天,09-03
1680,上海蝶翠诗商业有限公司（DHC）,数据分析师,上海,,09-03
1681,融创（深圳）房地产有限公司,数据分析师,深圳-南山区,1-1.5万/月,09-03
1682,SGS通标标准技术服务有限公司广州...,数据分析师,广州,5-6千/月,09-03
1683,大金氟化工（中国）有限公司上海分...,数据分析师,上海,,09-03
1684,“前程无忧”51job.com（宁波）,数据分析师,宁波,,09-03
1685,民生人寿保险股份有限公司湖北分公...,数据分析师,武汉-江汉区,5-9千/月,09-03
1686,Pfizer Upjohn,数据分析师,安徽省,2-3千/月,09-03
1687,妮维雅（上海）有限公司,数据分析师,上海,,09-03
1688,平安保险代理有限公司湖北分公司,数据分析师,武汉-江岸区,0.5-1万/月,09-03
1689,上海雀巢饮用水有限公司,数据分析师,上海-浦东新区,,09-03
1690,华润雪花啤酒（中国）有限公司,数据分析师,成都,,09-03
1691,华润三九医药股份有限公司,数据分析师,贵阳,4-7千/月,09-03
1692,SGS通标标准技术服务有限公司宁波...,数据分析师,宁波,2-3千/月,09-03
1693,北京沃尔玛百货有限公司,数据分析师,北京-石景山区,3-4.5千/月,09-03
1694,上海之禾时尚实业（集团）有限公司...,数据分析师,上海-闵行区,1-2万/月,09-03
1695,安德里茨（中国）有限公司,数据分析师,异地招聘,0.7-1万/月,09-03
1696,康明斯发动机（北京）有限公司,数据分析师,北京-大兴区,6-8千/月,09-03
1697,广东三元麦当劳食品有限公司,数据分析师,广州-荔湾区,100元/天,09-03
1698,戴尔（中国）有限公司,数据分析师,上海-长宁区,,09-03
1699,立邦投资有限公司,数据分析师,上海-浦东新区,1.5-2万/月,09-03
1700,爱茉莉太平洋贸易有限公司,数据分析师,沈阳,1-1.5万/月,09-03
1701,和记黄埔（中国）商贸有限公司,数据分析师,异地招聘,4.5-6千/月,09-03
1702,Hewlett Packard Enterprise,数据分析师,广州,8-15万/年,09-03
1703,安盛天平财产保险股份有限公司,数据分析师,成都-高新区,6-8千/月,09-03
1704,腾讯RDM,数据分析师,异地招聘,5-8千/月,09-03
1705,普华永道信息技术（上海）有限公司...,数据分析师,上海-浦东新区,2.5-3万/月,09-03
1706,上药康德乐（上海）医药有限公司,数据分析师,上海-徐汇区,8-10万/年,09-03
1707,滴滴,数据分析师,广州,0.8-1万/月,09-03
1708,强生（苏州）医疗器材有限公司,数据分析师,苏州,4.5-7千/月,09-03
1709,招商信诺人寿保险有限公司,数据分析师,上海-浦东新区,0.8-1.5万/月,09-03
1710,农夫山泉股份有限公司,数据分析师,重庆-大渡口区,5-8千/月,09-03
1711,北京金美仕贸易有限公司,数据分析师,上海,1-1.5万/月,09-03
1712,康师傅控股杭州顶益食品有限公司,数据分析师,温州,4.5-6千/月,09-03
1713,本田汽车零部件制造有限公司,数据分析师,异地招聘,8-12万/年,09-03
1714,绿城物业服务集团有限公司湖南分公...,数据分析师,长沙-开福区,3.8-4.5千/月,09-03
1715,SGS通标标准技术服务有限公司杭州...,数据分析师,杭州,5-6千/月,09-03
1716,三星半导体（中国）研究开发有限公...,数据分析师,深圳-南山区,2-4万/月,09-03
1717,华润雪花啤酒（中国）有限公司上海...,数据分析师,上海-青浦区,6-8千/月,09-03
1718,欧莱雅（中国）有限公司,数据分析师,昆山,0.8-1万/月,09-03
1719,杭州百草味公司,数据分析师,杭州,1.2-1.8万/月,09-03
1720,亚马逊中国,数据分析师,上海-长宁区,1.5-2万/月,09-03
1721,阅文集团,数据分析师,上海-浦东新区,1-2万/月,09-03
1722,华硕科技（苏州）有限公司,数据分析师,苏州,0.5-1万/月,09-03
1723,中国联通广州市分公司天河区销售公...,数据分析师,广州,0.5-1万/月,09-03
1724,杭州新东方学校,数据分析师,杭州-西湖区,100元/天,09-03
1725,克履仕国际贸易（上海）有限公司,数据分析师,上海,120元/天,09-03
1726,武汉新东方学校,数据分析师,武汉-武昌区,3.8-4.5千/月,09-03
1727,上海太太乐食品有限公司郑州分公司...,数据分析师,洛阳,4.5-6千/月,09-03
1728,卡士酸奶/绿雪生物工程（深圳）有...,数据分析师,深圳-宝安区,0.8-1.5万/月,09-03
1729,广州必维技术检测有限公司,数据分析师,广州-南沙区,9-15万/年,09-03
1730,美国史丹利（上海）管理有限公司,数据分析师,合肥,,09-03
1731,京东商城,数据分析师,北京-大兴区,2.5-3.5万/月,09-03
1732,能多洁（中国）环境科技有限公司,数据分析师,上海-长宁区,6-9千/月,09-03
1733,广州市点都德饮食有限公司,数据分析师,广州,0.8-1万/月,09-03
1734,上海锐澳（RIO）酒业营销有限公司,数据分析师,上海-浦东新区,1-1.5万/月,09-03
1735,林德（中国）叉车有限公司,数据分析师,厦门,4.5-6千/月,09-03
1736,中建三局集团有限公司昆明分公司,数据分析师,异地招聘,1-1.5万/月,09-03
1737,康师傅杭州顶园食品有限公司,数据分析师,武汉-硚口区,3-4.5千/月,09-03
1738,泰连连接器（苏州）有限公司,数据分析师,苏州-相城区,6-8千/月,09-03
1739,通力电梯有限公司深圳分公司,数据分析师,深圳-罗湖区,6-8千/月,09-03
1740,富士康电子工业发展（昆山）有限公...,数据分析师,重庆-沙坪坝区,10-50万/年,09-03
1741,捷普集团-捷普科技（成都）有限公...,数据分析师,成都,,09-03
1742,北京搜狗科技发展有限公司,数据分析师,北京-海淀区,3-5万/月,09-03
1743,南京创维家用电器有限公司,数据分析师,南京,4.5-6千/月,09-03
1744,联强国际,数据分析师,深圳-福田区,4-7千/月,09-03
1745,上海盒马网络科技有限公司,数据分析师,昆山,6-8千/月,09-03
1746,上海微创医疗器械（集团）有限公司...,数据分析师,上海-浦东新区,2-4千/月,09-03
1747,上海英培商务咨询有限公司（EF 英...,数据分析师,厦门,1.5-2.8万/月,09-03
1748,天津电装电子有限公司,数据分析师,天津-滨海新区,6-8千/月,09-03
1749,无锡小天鹅股份有限公司,数据分析师,异地招聘,10-15万/年,09-03
1750,招商银行股份有限公司南通分行,数据分析师,南通,0.6-1.8万/月,09-03
1751,深圳正威（集团）有限公司,数据分析师,成都-武侯区,4.5-6千/月,09-03
1752,广东润华商业有限公司,数据分析师,广州,3-5千/月,09-03
1753,同程艺龙,数据分析师,合肥-滨湖新区,2-3千/月,09-03
1754,中联重科工程起重机械分公司,数据分析师,长沙-长沙县,0.6-1.2万/月,09-03
1755,内蒙古伊利实业集团股份有限公司,数据分析师,沈阳-沈河区,4.5-6千/月,09-03
1756,马克华菲（上海）商业有限公司,数据分析师,上海-徐汇区,0.8-1万/月,09-03
1757,英域成语言培训（上海）有限公司（...,数据分析师,上海-浦东新区,1.2-1.5万/月,09-03
